"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
8.234769783E0,-2.849075556E0,-6.774495840E-1,-3.262020350E-1
8.254746899E0,-3.095254183E0,-3.689626157E-1,-8.081747293E-1
8.274714975E0,-3.069597960E0,-6.701191664E-1,-9.963212013E-1
8.294677629E0,-2.763554335E0,-1.277930140E0,-7.061602473E-1
8.314628937E0,-2.459343433E0,-1.098946571E0,-2.620611787E-1
8.334601206E0,-2.313957453E0,-7.715228200E-1,-1.392772794E-1
8.354576514E0,-2.247984171E0,-7.623597980E-1,-2.535090744E-1
8.374555937E0,-2.194227934E0,-1.728748679E-1,-3.958406746E-1
8.394533744E0,-1.971262097E0,-3.726277873E-2,-6.218608022E-1
8.414501052E0,-1.878410578E0,-6.579018831E-1,-7.629706860E-1
8.434489859E0,-1.932777643E0,-1.047023058E0,-7.476990819E-1
8.454443782E0,-1.773952723E0,-8.216137290E-1,-6.401867867E-1
8.474414244E0,-1.418429136E0,-5.253441259E-2,-4.172209501E-1
8.494392128E0,-1.033583999E0,-9.285151958E-2,-8.307767659E-2
8.514357513E0,-6.090326309E-1,-4.764748812E-1,3.017674387E-1
8.534321628E0,-3.158173263E-1,-6.548475623E-1,6.224716902E-1
8.554309936E0,-2.309070677E-1,-1.569923609E-1,7.739662528E-1
8.574272551E0,-1.203404516E-1,4.269948006E-1,7.965682745E-1
8.594240705E0,3.298672438E-1,2.956587672E-1,8.087855577E-1
8.614192128E0,9.676105380E-1,-2.199114859E-2,7.990117669E-1
8.634171320E0,1.491732955E0,6.108652428E-2,1.040303469E0
8.654138589E0,1.869247675E0,3.066543639E-1,1.166141748E0
8.674129282E0,2.166128159E0,4.795292318E-1,9.828822017E-1
8.694098743E0,2.343279123E0,4.691445231E-1,9.841039181E-1
8.714074974E0,2.828917027E0,3.054326177E-1,1.277319193E0
8.734053320E0,3.419012785E0,1.221730467E-2,1.393994451E0
8.754024589E0,3.947411299E0,-1.020144969E-1,1.397048831E0
8.773986666E0,4.166100979E0,1.117883399E-1,1.062905550E0
8.793975704E0,4.199698448E0,4.379903674E-1,7.330383062E-1
8.813940166E0,4.440379620E0,3.280346394E-1,5.955936313E-1
8.833909127E0,4.671286583E0,4.428772926E-1,5.436700583E-1
