"Time (s)","Acceleration (m/s²)"
6.699909747E0,-9.093569517E-1
6.739840093E0,-2.909418941E-1
6.779793747E0,2.135616541E-2
6.819699709E0,-9.510499239E-2
6.859667131E0,2.993382215E-1
6.899608362E0,-5.121555328E-1
6.939555170E0,-1.928857684E0
6.979544939E0,-1.995187998E-1
7.019528823E0,1.960164666E0
7.059486746E0,3.085936308E-1
7.099470284E0,-1.519003630E0
7.139451746E0,-5.296976566E-1
7.179402361E0,5.735428333E-1
7.219423976E0,-1.491986632E0
7.259404053E0,-4.062081575E-1
7.299386514E0,1.018554926E0
7.339370360E0,6.773942709E-1
7.379297668E0,-1.606383324E-1
7.419269399E0,2.269542217E-2
7.459281552E0,1.413207531E0
7.499255129E0,3.730845928E0
7.539203629E0,-7.360960245E-1
7.579175206E0,-1.532865167E0
7.619139705E0,-9.019910693E-1
7.659118282E0,2.782742023E0
7.699058282E0,-5.950441360E-1
7.739026359E0,-1.877358198E0
7.778988051E0,-1.577806473E-1
7.818958128E0,-5.642356277E-1
7.858880628E0,-8.626401424E-2
7.898848858E0,-1.005123854E0
7.938864781E0,7.077445984E-1
7.978831512E0,1.001375556E0
8.018754012E0,3.242222071E-1
8.058706319E0,-1.038392186E0
8.098676242E0,-6.641154885E-1
8.138632280E0,-2.513206005E-1
8.178630126E0,-4.554789364E-1
8.218576472E0,1.354285002E0
8.258550241E0,5.754109621E-1
8.298499357E0,5.479060411E-1
8.338430587E0,-8.941751122E-1
8.378414318E0,-1.376983404E0
8.418310510E0,-1.208506703E0
8.458254356E0,9.999722242E-2
8.498197164E0,-4.292942286E-1
8.538147356E0,3.313871026E-1
8.578039279E0,-7.229478359E-1
8.617988779E0,-4.090192318E-1
8.657915509E0,5.307949781E-1
8.697910701E0,-9.043509960E-1
8.737853624E0,-7.883423567E-1
8.777802124E0,1.543073654E-1
8.817733855E0,-1.030575514E0
8.857670355E0,-7.668761015E-1
8.897596162E0,6.895852089E-1
8.937567624E0,4.195684195E-1
8.977500162E0,-1.532367468E0
9.017474931E0,1.690599918E-1
9.057434815E0,-2.525047064E-1
9.097418008E0,-3.076469898E-1
9.137381738E0,-1.379669905E-1
9.177303161E0,5.357465744E-1
9.217228507E0,7.832150459E-1
9.257178199E0,3.962974548E-1
9.297100853E0,1.250123978E-1
9.337051737E0,-1.159000397E-2
9.376948276E0,9.436368942E-3
9.416901083E0,7.708199024E-1
9.456872045E0,4.308845997E-1
9.496824083E0,1.759905815E-1
9.536717890E0,1.314083815E0
9.576650621E0,1.199966908E0
9.616662852E0,-4.111392498E-1
9.656634198E0,-1.059615135E0
9.696644121E0,-5.097937584E-1
9.736599428E0,-3.468315601E-1
9.776532390E0,1.107478142E-2
9.816487505E0,-5.587892532E-1
9.856388812E0,-4.692430496E-1
9.896341543E0,2.968027592E-1
9.936271543E0,3.757343292E-1
9.976176004E0,-2.412486076E-1
1.001607143E1,5.667419434E-1
1.005602016E1,1.938455105E0
1.009603004E1,8.598299026E-1
1.013597431E1,-7.850835323E-1
1.017594993E1,-2.162008047E0
1.021592497E1,-2.257498741E0
1.025588470E1,6.122410297E-1
1.029585773E1,4.557657242E-1
1.033583900E1,-2.892999649E-1
1.037578977E1,-1.598679781E0
1.041573446E1,-8.171341419E-1
1.045570720E1,5.484337807E-1
1.049567023E1,4.996728897E-2
1.053560650E1,-7.348031998E-1
1.057561335E1,1.027731895E-1
1.061555846E1,1.271512508E0
1.065548819E1,-1.414504051E-1
1.069544135E1,1.376141071E0
1.073535869E1,9.498500824E-1
1.077530296E1,-4.889173508E-1
1.081520146E1,2.342867851E-1
1.085515250E1,2.511529922E-1
1.089508416E1,-1.400942802E-1
1.093504462E1,3.829736710E-1
1.097493419E1,-1.811375618E-1
1.101488254E1,-4.172706604E-2
1.105490269E1,-1.364002228E-1
1.109485546E1,-6.426224709E-1
1.113475531E1,2.149882317E-1
1.117471777E1,-6.562681198E-1
1.121464992E1,-6.126790047E-1
1.125460915E1,-3.569340706E-1
1.129450612E1,-5.154666901E-1
1.133445415E1,-2.751355171E-1
1.137437569E1,5.769042969E-1
1.141433361E1,-1.226649284E-1
1.145422438E1,-2.919058800E-1
1.149417900E1,-1.899094582E-1
1.153410661E1,3.279914856E-1
1.157405638E1,6.221199036E-2
1.161395777E1,1.788344383E-1
1.165390823E1,4.397363663E-1
1.169383908E1,4.459428787E-2
1.173378854E1,2.212281227E-1
1.177368861E1,1.825485229E-1
1.181363627E1,-1.809811592E-1
1.185356084E1,2.098422050E-1
1.189356038E1,4.517078400E-1
1.193350646E1,-1.075477600E-1
1.197344846E1,3.843722343E-1
1.201346492E1,5.275726318E-2
1.205340807E1,-7.977123260E-1
1.209330546E1,7.009353638E-1
1.213326484E1,-2.188186646E-1
1.217318965E1,-6.620478630E-1
1.221313834E1,9.663295746E-2
1.225303207E1,2.812929153E-1
1.229298084E1,4.732866287E-1
1.233291207E1,5.101156235E-1
1.237286861E1,-3.911333084E-1
1.241275953E1,7.661447525E-1
1.245270446E1,-3.890657425E-1
1.249262134E1,-4.637603760E-1
1.253255122E1,4.841842651E-1
1.257253230E1,1.866550446E-1
1.261252757E1,1.855897903E-1
1.265249876E1,7.108736038E-1
1.269244465E1,3.236064911E-1
1.273248130E1,5.177688599E-2
1.277242330E1,6.619415283E-1
1.281239026E1,-6.100177765E-2
1.285234307E1,-1.347186089E0
1.289232915E1,-1.634168625E-1
1.293226799E1,-4.590625763E-1
1.297227884E1,3.609228134E-1
1.301225607E1,-8.969402313E-2
1.305224130E1,-3.015613556E-1
1.309223268E1,1.427793503E-1
1.313222118E1,8.729658127E-1
1.317215715E1,1.021385193E-3
1.321218061E1,2.710599899E-1
1.325211688E1,-6.059455872E-2
1.329208007E1,3.610048294E-1
1.333201407E1,-5.535535812E-1
1.337199561E1,7.234964371E-1
1.341192591E1,3.128185272E-1
1.345193003E1,-3.091955185E-1
1.349190726E1,1.553964615E-1
1.353188488E1,1.501607895E-1
1.357182514E1,-2.465667725E-1
1.361178588E1,3.214416504E-1
1.365172814E1,7.443046570E-1
1.369167007E1,-5.750656128E-4
1.373160768E1,2.679109573E-1
1.377157187E1,6.007432938E-1
1.381155914E1,5.739107132E-1
1.385155026E1,-2.952136993E-1
1.389154757E1,9.670448303E-2
1.393156226E1,3.455648422E-1
1.397155734E1,1.593360901E-1
1.401154687E1,-9.701347351E-2
1.405153407E1,4.170904160E-1
1.409149856E1,-9.809684753E-2
1.413148083E1,1.457548141E-1
1.417151460E1,1.956371307E0
1.421146757E1,-1.248893738E-1
1.425143137E1,-1.544284821E-2
1.429138222E1,6.921768188E-2
1.433136168E1,1.730823517E-2
1.437135183E1,-2.403640747E-2
1.441136087E1,2.261018753E-1
1.445135333E1,4.370307922E-1
1.449133599E1,-6.357669830E-2
1.453132353E1,-1.038370132E-1
1.457128499E1,-1.027660370E-1
1.461121187E1,4.089355469E-3
1.465123322E1,-1.057405472E-1
1.469117329E1,-4.000949860E-2
1.473114260E1,-1.054096222E-2
1.477113276E1,-1.352453232E-1
1.481111829E1,-5.283737183E-2
1.485106041E1,-6.780052185E-2
1.489107849E1,-3.130464554E-1
1.493107148E1,9.231948853E-2
1.497106272E1,4.965496063E-2
1.501101545E1,-4.392147064E-2
