"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.682584960E-1,-1.937053680E0,7.330383174E-3,2.683531046E0,3.309617738E0
5.702582270E-1,-2.003027201E0,-2.138028294E-2,2.682920218E0,3.348228782E0
5.722568420E-1,-2.037846565E0,-5.619960278E-2,2.684752703E0,3.371034573E0
5.742568040E-1,-2.128865480E0,-1.594358236E-1,2.690861464E0,3.434854208E0
5.762554580E-1,-2.252871037E0,-3.182607889E-1,2.691472292E0,3.524307157E0
5.782551500E-1,-2.318844557E0,-3.970624208E-1,2.697580814E0,3.579335259E0
5.802538040E-1,-2.475225925E0,-6.493497491E-1,2.723237276E0,3.736899750E0
5.822539190E-1,-2.657263756E0,-9.230173826E-1,2.770884752E0,3.948520491E0
5.842521880E-1,-2.757445812E0,-1.058629513E0,2.802649736E0,4.071737884E0
5.862721110E-1,-2.966361523E0,-1.374446750E0,2.874731779E0,4.353445458E0
5.882679580E-1,-3.191159964E0,-1.682322860E0,2.964529037E0,4.669276660E0
5.902682270E-1,-3.301726580E0,-1.827097893E0,3.016452551E0,4.831011396E0
5.922669580E-1,-3.543629169E0,-2.121535063E0,3.117856264E0,5.174866800E0
5.942670730E-1,-3.795916557E0,-2.431854486E0,3.203377247E0,5.530327706E0
5.962658040E-1,-3.921754837E0,-2.561357975E0,3.238807440E0,5.694786151E0
5.982657270E-1,-4.193589687E0,-2.762943506E0,3.342654705E0,6.032693574E0
6.002640350E-1,-4.448320866E0,-2.841134310E0,3.433673620E0,6.296802142E0
6.022643420E-1,-4.571715355E0,-2.860682011E0,3.473990679E0,6.415036562E0
6.042628040E-1,-4.799568176E0,-2.822808266E0,3.549127102E0,6.603060228E0
6.062935730E-1,-5.002986431E0,-2.791654110E0,3.630372047E0,6.782536922E0
6.082891500E-1,-5.106833458E0,-2.764775991E0,3.671300173E0,6.870384211E0
6.102886880E-1,-5.290092945E0,-2.681087494E0,3.734219313E0,7.008402628E0
