"Frequency (Hz)","Absolute Amplitude (a.u.)"
9.726562500E3,4.202676567E-2
9.750000000E3,2.643629589E-2
9.773437500E3,2.019751490E-2
9.796875000E3,5.410691168E-2
9.820312500E3,4.425690849E-2
9.843750000E3,2.157525266E-2
9.867187500E3,3.092421938E-2
9.890625000E3,4.859264386E-2
9.914062500E3,3.712154440E-2
9.937500000E3,3.164106675E-2
9.960937500E3,6.152866955E-2
9.984375000E3,2.134295876E-2
1.000781250E4,1.379841564E-2
1.003125000E4,4.227366066E-2
1.005468750E4,1.111434735E-2
1.007812500E4,1.168151303E-2
1.010156250E4,4.093109556E-2
1.012500000E4,1.250022238E-2
1.014843750E4,3.344157106E-2
1.017187500E4,9.876960817E-3
1.019531250E4,3.465168254E-2
1.021875000E4,3.453276156E-2
1.024218750E4,1.775168692E-2
1.026562500E4,3.284812220E-2
1.028906250E4,2.866795676E-2
1.031250000E4,2.820534934E-2
1.033593750E4,1.577199690E-2
1.035937500E4,2.343623930E-2
1.038281250E4,2.062317962E-2
1.040625000E4,3.688450927E-2
1.042968750E4,1.092535219E-2
1.045312500E4,2.325879191E-2
1.047656250E4,4.379456813E-2
1.050000000E4,1.413819732E-2
1.052343750E4,5.598115466E-2
1.054687500E4,3.452170140E-2
1.057031250E4,2.348942203E-2
1.059375000E4,4.586044610E-2
1.061718750E4,4.408850859E-2
1.064062500E4,1.541776865E-2
1.066406250E4,2.961271494E-2
1.068750000E4,6.276388114E-2
1.071093750E4,1.838103094E-2
1.073437500E4,8.344745463E-2
1.075781250E4,4.011745141E-2
1.078125000E4,3.871093196E-2
1.080468750E4,8.602791385E-2
1.082812500E4,7.123033780E-2
1.085156250E4,3.943955844E-2
1.087500000E4,9.859251892E-2
1.089843750E4,4.994684355E-2
1.092187500E4,4.133314819E-2
1.094531250E4,4.921617393E-2
1.096875000E4,3.291331457E-2
1.099218750E4,2.012326970E-2
1.101562500E4,1.316107444E-2
1.103906250E4,5.727299193E-2
1.106250000E4,3.451959072E-2
1.108593750E4,3.559893261E-2
1.110937500E4,2.724766892E-2
1.113281250E4,3.478792754E-2
1.115625000E4,4.548248353E-2
1.117968750E4,3.237142176E-2
1.120312500E4,2.327861929E-2
1.122656250E4,5.723401908E-2
1.125000000E4,6.367153750E-2
1.127343750E4,3.810972803E-2
1.129687500E4,4.557783923E-3
1.132031250E4,2.531700275E-2
1.134375000E4,6.630587356E-2
1.136718750E4,4.308092101E-2
1.139062500E4,4.106475196E-2
1.141406250E4,2.231483215E-2
1.143750000E4,2.453419186E-2
1.146093750E4,1.533307070E-2
1.148437500E4,2.750805825E-2
1.150781250E4,7.243238800E-2
1.153125000E4,3.990884949E-2
1.155468750E4,2.993974145E-2
1.157812500E4,3.044774576E-2
1.160156250E4,5.198226277E-3
1.162500000E4,1.547111687E-2
1.164843750E4,1.541088714E-2
1.167187500E4,7.785532066E-3
1.169531250E4,2.463423055E-2
1.171875000E4,3.277206398E-2
1.174218750E4,4.895804920E-2
1.176562500E4,1.713227300E-2
1.178906250E4,2.511316329E-2
1.181250000E4,3.385939718E-2
1.183593750E4,2.189974709E-2
1.185937500E4,1.830763191E-2
1.188281250E4,1.651383252E-2
1.190625000E4,1.802098420E-2
1.192968750E4,2.180298817E-2
1.195312500E4,1.316067321E-2
1.197656250E4,8.544938907E-3
1.200000000E4,4.791259766E-3
1.202343750E4,1.615415204E-2
1.204687500E4,1.506011206E-2
1.207031250E4,1.664879615E-2
