"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.420690776E0,-3.052545071E0,-1.190476131E1,-8.157514930E-1,1.231693240E1
1.428723315E0,-3.320368528E0,-1.223042297E1,-7.439239621E-1,1.269494057E1
1.436720276E0,-3.143122673E0,-1.249506760E1,-7.265197039E-1,1.290479621E1
1.444734161E0,-3.017813921E0,-1.261295509E1,-4.897841811E-1,1.297820194E1
1.452731007E0,-2.892704725E0,-1.302021408E1,-5.438665152E-1,1.334876422E1
1.460727853E0,-2.742933273E0,-1.335301113E1,-8.062171936E-1,1.365564262E1
1.468744430E0,-2.637035131E0,-1.361128426E1,-1.237685919E0,1.391951435E1
1.476740776E0,-1.744169593E0,-1.379983521E1,-1.953114033E0,1.404607538E1
1.484768507E0,-1.448034167E0,-1.368682480E1,-2.462312460E0,1.398173661E1
1.492764353E0,-1.317537189E0,-1.385574532E1,-2.771245241E0,1.419145457E1
1.500761199E0,-8.346477747E-1,-1.413187408E1,-3.581761122E0,1.460258589E1
1.508777968E0,-5.255926847E-1,-1.430468369E1,-4.018153191E0,1.486760835E1
1.516773083E0,1.455836296E-1,-1.441953564E1,-4.564046383E0,1.512530072E1
1.524822006E0,3.152644634E-2,-1.441893768E1,-5.071860790E0,1.528497726E1
1.532817660E0,1.080918312E-1,-1.416160011E1,-5.743987560E0,1.528253888E1
1.540813083E0,3.896890283E-1,-1.429927731E1,-6.195620060E0,1.558867849E1
1.548853622E0,3.599897623E-1,-1.411885262E1,-6.606904030E0,1.559239471E1
1.556849314E0,4.876107574E-1,-1.388135433E1,-6.854680061E0,1.548923501E1
1.564870891E0,6.949591041E-1,-1.395807076E1,-7.212085247E0,1.572656609E1
1.572864506E0,9.688231349E-1,-1.394173241E1,-7.490889549E0,1.585635352E1
1.580859122E0,1.168769717E0,-1.371464348E1,-7.414457798E0,1.563431012E1
1.588900968E0,1.442427874E0,-1.379570198E1,-7.497999191E0,1.576775137E1
1.596895737E0,1.471883059E0,-1.345795536E1,-7.767705917E0,1.560833936E1
1.604934468E0,1.200307608E0,-1.297312832E1,-7.996494770E0,1.528681541E1
1.612928352E0,9.841271043E-1,-1.244036674E1,-8.036203384E0,1.484290389E1
1.620959621E0,1.009123564E0,-1.161225510E1,-7.732405663E0,1.398759794E1
1.628976545E0,9.268787503E-1,-1.044183445E1,-6.956956863E0,1.258134570E1
1.636972429E0,6.695680618E-1,-9.576066971E0,-6.049013615E0,1.134636267E1
1.644983891E0,9.109601974E-1,-8.526198387E0,-4.688341141E0,9.772740152E0
1.652979544E0,1.418974876E0,-7.286174774E0,-2.365374327E0,7.790816918E0
1.660976198E0,1.871367574E0,-6.119982719E0,-8.215212822E-2,6.400230781E0
1.669008160E0,2.404350758E0,-4.514003277E0,2.357590675E0,5.631639365E0
1.677004198E0,2.666379929E0,-2.897464275E0,4.096681595E0,5.682225025E0
1.685017967E0,2.220346928E0,-7.712631226E-1,5.706919193E0,6.172010528E0
1.693014121E0,6.845669746E-1,1.800261497E0,7.332157135E0,7.580903749E0
1.701009160E0,-7.927432060E-1,4.012073517E0,9.232116699E0,1.009738354E1
1.709041006E0,-1.847776890E0,6.737768173E0,1.178023148E1,1.369619119E1
1.717072275E0,-1.338610172E0,9.109040260E0,1.477603531E1,1.740970164E1
1.725100429E0,3.137129545E-1,1.115872097E1,1.779258347E1,2.100455893E1
1.733096660E0,2.225553751E0,1.290079594E1,2.194630241E1,2.555433065E1
1.741093352E0,2.811867714E0,1.424397755E1,2.462003708E1,2.858222738E1
1.749110006E0,2.762661219E0,1.514493561E1,2.627725601E1,3.045481169E1
1.757105121E0,1.954379082E0,1.606286621E1,2.628561020E1,3.086694951E1
