"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.860857180E-1,1.369483352E0,6.196194172E0,7.508216381E0,9.830646982E0
2.880826790E-1,1.374271750E0,6.193799973E0,7.381323814E0,9.733227738E0
2.900814490E-1,1.233013868E0,6.165069580E0,7.338228226E0,9.663229254E0
2.921259100E-1,1.024718285E0,6.141127586E0,7.314286232E0,9.605325537E0
2.941245640E-1,9.002198577E-1,6.179434776E0,7.242460251E0,9.562899165E0
2.961217180E-1,8.571242094E-1,6.205770969E0,7.199364662E0,9.543432652E0
2.981206790E-1,7.757213712E-1,6.217741966E0,7.137115479E0,9.497393124E0
3.001181410E-1,7.709329724E-1,6.258443356E0,7.024587631E0,9.439665369E0
3.021171410E-1,8.020575643E-1,6.308721542E0,7.005434036E0,9.461467638E0
3.041231790E-1,9.289502501E-1,6.399701118E0,7.060500622E0,9.574434292E0
3.061220260E-1,9.600749016E-1,6.461950302E0,7.072471619E0,9.628000848E0
3.081193720E-1,1.000776291E0,6.473921299E0,7.074865818E0,9.641936347E0
3.101181790E-1,9.696516991E-1,6.500257492E0,7.082048416E0,9.661727674E0
3.121592560E-1,8.834604025E-1,6.533776283E0,7.141903877E0,9.719955030E0
3.141578720E-1,8.547300100E-1,6.552929878E0,7.139509678E0,9.728517452E0
3.161551020E-1,8.427590132E-1,6.579266071E0,7.182605267E0,9.776850373E0
3.181541410E-1,8.906430602E-1,6.605602264E0,7.314286232E0,9.895757142E0
3.201517950E-1,9.720458984E-1,6.655880928E0,7.474697590E0,1.005568139E1
3.221506410E-1,1.113303781E0,6.794744492E0,7.678205013E0,1.031323568E1
3.241482950E-1,1.000776291E0,6.797138691E0,7.599195957E0,1.024453155E1
3.261476790E-1,8.595184088E-1,6.782773495E0,7.618350029E0,1.023640783E1
3.281453720E-1,6.488286853E-1,6.785167694E0,7.702147007E0,1.028506431E1
3.301447180E-1,4.501099288E-1,6.792350292E0,7.742848396E0,1.030971982E1
3.323232180E-1,4.118026793E-1,6.816292286E0,7.831433773E0,1.039051379E1
3.341408720E-1,3.447650373E-1,6.849811077E0,7.917624950E0,1.047509234E1
3.361360250E-1,3.399766386E-1,6.871358871E0,7.951143742E0,1.051436368E1
3.381351790E-1,2.537853718E-1,6.938396454E0,8.037335396E0,1.062094688E1
3.401326020E-1,2.633621991E-1,6.995857239E0,8.149862289E0,1.074391146E1
3.421317950E-1,2.418143749E-1,7.019799232E0,8.224082947E0,1.081534076E1
3.441293720E-1,1.149216816E-1,7.055712223E0,8.365341187E0,1.094418636E1
3.461288720E-1,3.351882473E-2,7.060500622E0,8.499416351E0,1.104951903E1
3.481267180E-1,4.788403399E-3,7.065289021E0,8.552088737E0,1.109308585E1
3.501261790E-1,-4.548983276E-2,7.065289021E0,8.623914719E0,1.114864491E1
3.521658720E-1,-4.070143029E-2,7.070077419E0,8.633491516E0,1.115906927E1
3.541652560E-1,-1.221042871E-1,7.079654217E0,8.643068314E0,1.117313936E1
3.561638710E-1,-1.891419291E-1,7.077260017E0,8.611943245E0,1.114849544E1
3.581633330E-1,-1.867477298E-1,7.094019413E0,8.631096840E0,1.117389005E1
3.601615250E-1,-2.370259613E-1,7.098807812E0,8.664615631E0,1.120378586E1
3.621607180E-1,-3.734954596E-1,7.091625214E0,8.755595207E0,1.127346861E1
3.641582180E-1,-3.591302633E-1,7.089231014E0,8.865729332E0,1.135725880E1
3.661573710E-1,-4.046200812E-1,7.105990410E0,8.925583839E0,1.141599159E1
3.681551410E-1,-4.285621047E-1,7.139509678E0,9.023746490E0,1.151452407E1
3.701541790E-1,-4.501099288E-1,7.151480675E0,9.083600998E0,1.156970535E1
3.721996790E-1,-4.548983276E-1,7.144298077E0,9.102754593E0,1.158050382E1
3.741978710E-1,-4.979939461E-1,7.137115479E0,9.057265282E0,1.154211721E1
3.761957180E-1,-4.477157295E-1,7.158663273E0,8.966285706E0,1.148221183E1
3.781947560E-1,-3.950432837E-1,7.149086475E0,8.939949036E0,1.145374111E1
3.801925640E-1,-3.998316824E-1,7.120356083E0,8.918401718E0,1.141916045E1
3.821919100E-1,-2.466027737E-1,7.113173485E0,8.870517731E0,1.137295629E1
3.841898330E-1,-1.939303428E-1,7.079654217E0,8.834604263E0,1.132295656E1
3.861893330E-1,-1.580173075E-1,7.031770229E0,8.765172005E0,1.123828289E1
3.881874480E-1,-6.464344263E-2,7.022193432E0,8.714894295E0,1.119217414E1
3.901867560E-1,1.484405100E-1,6.988674641E0,8.566453934E0,1.105657003E1
3.921845640E-1,3.711012602E-1,6.931213856E0,8.389283180E0,1.088850375E1
3.941844870E-1,3.830722570E-1,6.900089264E0,8.288725853E0,1.079170758E1
3.961827560E-1,4.548983276E-1,6.823474884E0,8.099584579E0,1.060047227E1
3.981818330E-1,6.392518282E-1,6.722918510E0,7.893682957E0,1.038828700E1
4.001880640E-1,7.469909191E-1,6.694188118E0,7.771578789E0,1.028433697E1
4.021875640E-1,8.092401624E-1,6.588842869E0,7.544129372E0,1.004896054E1
4.041857940E-1,8.212111592E-1,6.488286495E0,7.410054207E0,9.883377599E0
4.061852940E-1,8.475474119E-1,6.442796707E0,7.347805023E0,9.809087862E0
4.081829870E-1,9.911994934E-1,6.385335922E0,7.213729858E0,9.684672929E0
4.101825250E-1,1.151610970E0,6.308721542E0,7.074865818E0,9.548816768E0
4.122642940E-1,1.235408068E0,6.260837555E0,7.003039837E0,9.474538877E0
4.142496400E-1,1.323993564E0,6.189011574E0,6.885724068E0,9.352540786E0
4.162478710E-1,1.458068848E0,6.155492783E0,6.825869083E0,9.306371200E0
4.182475250E-1,1.537077546E0,6.138733387E0,6.763619900E0,9.262462368E0
4.202455250E-1,1.654393315E0,6.124367714E0,6.663063526E0,9.200071342E0
4.222454100E-1,1.709460020E0,6.095637321E0,6.586448669E0,9.135663851E0
4.242435640E-1,1.750161409E0,6.098031521E0,6.574477673E0,9.136345553E0
4.262430640E-1,1.802833915E0,6.110002518E0,6.536170483E0,9.127095128E0
4.282411400E-1,1.790862918E0,6.124367714E0,6.488286495E0,9.100161072E0
4.302408330E-1,1.781286120E0,6.119579315E0,6.454767704E0,9.071177286E0
4.322666020E-1,1.771709204E0,6.112396717E0,6.342240334E0,8.984673593E0
4.342660630E-1,1.826775908E0,6.114790916E0,6.299144745E0,8.966995187E0
4.362642560E-1,1.831564307E0,6.119579315E0,6.268020153E0,8.949410899E0
4.382637560E-1,1.836352706E0,6.138733387E0,6.220136166E0,8.930080222E0
4.402621400E-1,1.889025092E0,6.160281181E0,6.136339188E0,8.897872704E0
4.422616020E-1,1.920149803E0,6.184223175E0,6.105214119E0,8.899732074E0
4.442594480E-1,1.977610588E0,6.205770969E0,6.007051945E0,8.860429449E0
4.462591400E-1,1.996764183E0,6.222530365E0,6.007051945E0,8.876464635E0
4.482659480E-1,1.977610588E0,6.203376770E0,5.963956356E0,8.829586763E0
4.502652560E-1,1.941697598E0,6.200982571E0,5.896918774E0,8.774737912E0
4.523117560E-1,1.893813491E0,6.189011574E0,5.853823185E0,8.726834459E0
4.543109480E-1,1.843535304E0,6.150704384E0,5.781997204E0,8.640675813E0
4.563089480E-1,1.793257117E0,6.105214119E0,5.686229229E0,8.533616664E0
4.583078330E-1,1.762132406E0,6.095637321E0,5.650316238E0,8.496350897E0
4.603051790E-1,1.663970232E0,6.124367714E0,5.722142220E0,8.545149993E0
4.623039100E-1,1.685518026E0,6.107608318E0,5.918466568E0,8.670184364E0
4.643015630E-1,1.678335428E0,6.110002518E0,5.889736176E0,8.650892023E0
4.663009100E-1,1.786074519E0,6.119579315E0,5.796362400E0,8.616097159E0
4.682981790E-1,1.807622313E0,6.095637321E0,5.698200226E0,8.537785345E0
4.702966020E-1,1.786074519E0,6.093243122E0,5.659893036E0,8.506001594E0
4.723234480E-1,1.814804912E0,6.057330132E0,5.559336185E0,8.419678379E0
4.743220630E-1,1.855506301E0,6.071695328E0,5.489904404E0,8.393297215E0
4.763193710E-1,1.891419291E0,6.105214119E0,5.480327606E0,8.419328776E0
4.783185630E-1,1.905784607E0,6.141127586E0,5.444414616E0,8.425385066E0
4.803162170E-1,1.934514999E0,6.150704384E0,5.384559631E0,8.400416366E0
4.823151790E-1,1.898601890E0,6.162675381E0,5.396530628E0,8.408674081E0
4.843124860E-1,1.800439715E0,6.193799973E0,5.451597214E0,8.445392439E0
4.863115250E-1,2.037465572E0,6.279991150E0,5.051765442E0,8.313235765E0
4.883097170E-1,2.121262789E0,6.320692539E0,4.910507679E0,8.280337895E0
4.903082560E-1,1.956062794E0,6.368576527E0,5.114014626E0,8.398695983E0
4.923474480E-1,1.802833915E0,6.414066315E0,5.449203014E0,8.607221985E0
4.943463320E-1,1.920149803E0,6.438008308E0,5.336675644E0,8.579920348E0
4.963491790E-1,1.984793186E0,6.438008308E0,4.953603268E0,8.362149263E0
4.983483710E-1,1.388636947E0,6.392518520E0,4.814739704E0,8.122458004E0
5.003466400E-1,1.132457376E0,6.349422932E0,4.608838081E0,7.927106643E0
5.023461020E-1,7.374141216E-1,6.294356346E0,3.660734415E0,7.318721053E0
5.043436020E-1,3.327940404E-1,6.291962147E0,3.469198227E0,7.192696008E0
5.063429860E-1,-3.184288144E-1,6.435614109E0,4.015076160E0,7.592059170E0
5.083406020E-1,2.035071403E-1,6.675034523E0,4.328716755E0,7.958347177E0
5.103392940E-1,4.501099288E-1,6.756437302E0,4.522646904E0,8.142872895E0
5.125016400E-1,8.930372596E-1,6.792350292E0,5.293580055E0,8.657686056E0
5.143802170E-1,1.429338455E0,6.687005520E0,5.758055210E0,8.939477113E0
5.163743710E-1,1.692700624E0,6.612784863E0,5.767632008E0,8.936427587E0
5.183731020E-1,1.814804912E0,6.469132900E0,6.095637321E0,9.071934287E0
5.203709860E-1,1.742978811E0,6.404489517E0,6.540958881E0,9.318776969E0
