"Time (s)","Recording (a.u.)"
1.016666667E-2,-5.493164062E-4
1.018750000E-2,-8.544921875E-4
1.020833333E-2,-3.967285156E-4
1.022916667E-2,5.798339844E-4
1.025000000E-2,1.953125000E-3
1.027083333E-2,2.227783203E-3
1.029166667E-2,2.624511719E-3
1.031250000E-2,2.716064453E-3
1.033333333E-2,2.960205078E-3
1.035416667E-2,2.807617188E-3
1.037500000E-2,1.831054688E-3
1.039583333E-2,1.220703125E-4
1.041666667E-2,-2.197265625E-3
1.043750000E-2,-3.204345703E-3
1.045833333E-2,-4.974365234E-3
1.047916667E-2,-7.110595703E-3
1.050000000E-2,-1.040649414E-2
1.052083333E-2,-1.394653320E-2
1.054166667E-2,-1.651000977E-2
1.056250000E-2,-1.751708984E-2
1.058333333E-2,-1.672363281E-2
1.060416667E-2,-1.510620117E-2
1.062500000E-2,-1.449584961E-2
1.064583333E-2,-1.470947266E-2
1.066666667E-2,-1.544189453E-2
1.068750000E-2,-1.675415039E-2
1.070833333E-2,-1.855468750E-2
1.072916667E-2,-2.005004883E-2
1.075000000E-2,-2.175903320E-2
1.077083333E-2,-2.185058594E-2
1.079166667E-2,-2.069091797E-2
1.081250000E-2,-1.800537109E-2
1.083333333E-2,-1.467895508E-2
1.085416667E-2,-1.324462891E-2
1.087500000E-2,-1.409912109E-2
1.089583333E-2,-1.745605469E-2
1.091666667E-2,-2.169799805E-2
1.093750000E-2,-2.453613281E-2
1.095833333E-2,-2.401733398E-2
1.097916667E-2,-2.362060547E-2
1.100000000E-2,-2.340698242E-2
1.102083333E-2,-2.377319336E-2
1.104166667E-2,-2.435302734E-2
1.106250000E-2,-2.612304688E-2
1.108333333E-2,-2.880859375E-2
1.110416667E-2,-3.024291992E-2
1.112500000E-2,-2.938842773E-2
1.114583333E-2,-2.575683594E-2
1.116666667E-2,-2.139282227E-2
1.118750000E-2,-1.559448242E-2
1.120833333E-2,-1.010131836E-2
1.122916667E-2,-5.432128906E-3
1.125000000E-2,-3.265380859E-3
1.127083333E-2,-4.089355469E-3
1.129166667E-2,-7.873535156E-3
1.131250000E-2,-1.174926758E-2
1.133333333E-2,-1.504516602E-2
1.135416667E-2,-1.733398438E-2
1.137500000E-2,-1.870727539E-2
1.139583333E-2,-1.882934570E-2
1.141666667E-2,-1.922607422E-2
1.143750000E-2,-2.102661133E-2
1.145833333E-2,-2.337646484E-2
1.147916667E-2,-2.548217773E-2
1.150000000E-2,-2.615356445E-2
1.152083333E-2,-2.667236328E-2
1.154166667E-2,-2.737426758E-2
1.156250000E-2,-2.697753906E-2
1.158333333E-2,-2.316284180E-2
1.160416667E-2,-1.922607422E-2
1.162500000E-2,-1.458740234E-2
1.164583333E-2,-1.043701172E-2
1.166666667E-2,-7.629394531E-3
1.168750000E-2,-5.218505859E-3
1.170833333E-2,-4.211425781E-3
1.172916667E-2,-2.105712891E-3
1.175000000E-2,8.239746094E-4
1.177083333E-2,6.103515625E-3
1.179166667E-2,9.216308594E-3
1.181250000E-2,1.062011719E-2
1.183333333E-2,8.514404297E-3
1.185416667E-2,4.180908203E-3
1.187500000E-2,-1.068115234E-3
1.189583333E-2,-6.805419922E-3
1.191666667E-2,-1.065063477E-2
1.193750000E-2,-9.857177734E-3
1.195833333E-2,-7.354736328E-3
1.197916667E-2,-5.401611328E-3
1.200000000E-2,-6.134033203E-3
1.202083333E-2,-8.392333984E-3
1.204166667E-2,-1.071166992E-2
1.206250000E-2,-1.135253906E-2
1.208333333E-2,-9.918212891E-3
1.210416667E-2,-7.415771484E-3
1.212500000E-2,-5.676269531E-3
1.214583333E-2,-2.716064453E-3
1.216666667E-2,-1.220703125E-3
1.218750000E-2,-1.007080078E-3
1.220833333E-2,-1.129150391E-3
1.222916667E-2,-2.929687500E-3
1.225000000E-2,-5.279541016E-3
1.227083333E-2,-7.629394531E-3
1.229166667E-2,-8.117675781E-3
1.231250000E-2,-4.913330078E-3
1.233333333E-2,-3.051757812E-4
1.235416667E-2,2.655029297E-3
1.237500000E-2,3.814697266E-3
1.239583333E-2,3.204345703E-3
1.241666667E-2,1.281738281E-3
1.243750000E-2,1.220703125E-4
1.245833333E-2,5.798339844E-4
1.247916667E-2,2.532958984E-3
1.250000000E-2,3.173828125E-3
1.252083333E-2,8.850097656E-4
1.254166667E-2,-8.544921875E-4
1.256250000E-2,0.000000000E0
1.258333333E-2,3.906250000E-3
1.260416667E-2,8.758544922E-3
1.262500000E-2,1.361083984E-2
1.264583333E-2,1.632690430E-2
1.266666667E-2,1.751708984E-2
1.268750000E-2,1.562500000E-2
1.270833333E-2,1.333618164E-2
1.272916667E-2,1.184082031E-2
1.275000000E-2,1.226806641E-2
1.277083333E-2,1.458740234E-2
1.279166667E-2,1.638793945E-2
1.281250000E-2,1.773071289E-2
1.283333333E-2,1.773071289E-2
1.285416667E-2,1.766967773E-2
1.287500000E-2,1.489257812E-2
1.289583333E-2,1.034545898E-2
1.291666667E-2,6.011962891E-3
1.293750000E-2,4.455566406E-3
1.295833333E-2,6.439208984E-3
1.297916667E-2,1.092529297E-2
1.300000000E-2,1.556396484E-2
1.302083333E-2,1.947021484E-2
1.304166667E-2,2.066040039E-2
1.306250000E-2,1.977539062E-2
1.308333333E-2,1.788330078E-2
1.310416667E-2,1.562500000E-2
1.312500000E-2,1.483154297E-2
1.314583333E-2,1.641845703E-2
1.316666667E-2,1.855468750E-2
1.318750000E-2,2.093505859E-2
1.320833333E-2,2.352905273E-2
1.322916667E-2,2.670288086E-2
1.325000000E-2,3.024291992E-2
1.327083333E-2,3.350830078E-2
1.329166667E-2,3.497314453E-2
1.331250000E-2,3.375244141E-2
1.333333333E-2,3.295898438E-2
1.335416667E-2,3.350830078E-2
1.337500000E-2,3.506469727E-2
1.339583333E-2,3.683471680E-2
1.341666667E-2,3.707885742E-2
1.343750000E-2,3.689575195E-2
1.345833333E-2,3.710937500E-2
1.347916667E-2,3.576660156E-2
1.350000000E-2,3.482055664E-2
1.352083333E-2,3.466796875E-2
1.354166667E-2,3.482055664E-2
1.356250000E-2,3.515625000E-2
1.358333333E-2,3.424072266E-2
1.360416667E-2,3.338623047E-2
1.362500000E-2,3.280639648E-2
1.364583333E-2,3.289794922E-2
1.366666667E-2,3.353881836E-2
1.368750000E-2,3.463745117E-2
1.370833333E-2,3.640747070E-2
1.372916667E-2,3.915405273E-2
1.375000000E-2,4.193115234E-2
1.377083333E-2,4.287719727E-2
1.379166667E-2,4.269409180E-2
1.381250000E-2,4.006958008E-2
1.383333333E-2,3.564453125E-2
1.385416667E-2,2.893066406E-2
1.387500000E-2,2.233886719E-2
1.389583333E-2,1.644897461E-2
1.391666667E-2,1.245117188E-2
1.393750000E-2,1.126098633E-2
1.395833333E-2,1.232910156E-2
1.397916667E-2,1.657104492E-2
1.400000000E-2,2.059936523E-2
1.402083333E-2,2.462768555E-2
1.404166667E-2,2.664184570E-2
1.406250000E-2,2.865600586E-2
1.408333333E-2,2.917480469E-2
1.410416667E-2,2.847290039E-2
1.412500000E-2,2.819824219E-2
1.414583333E-2,2.850341797E-2
1.416666667E-2,2.917480469E-2
1.418750000E-2,3.015136719E-2
1.420833333E-2,2.844238281E-2
