"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.532523962E0,-3.658779907E1,-9.064599991E0,3.586799860E0,3.786421988E1
1.542523962E0,-3.666099930E1,-8.906000137E0,3.574599981E0,3.789621977E1
1.552523962E0,-3.669759750E1,-8.808400154E0,3.586799860E0,3.790998165E1
1.562523962E0,-3.674639893E1,-8.783999443E0,3.525799990E0,3.794585281E1
1.572523962E0,-3.662440109E1,-8.783999443E0,3.440399885E0,3.781985924E1
1.582523962E0,-3.667319870E1,-8.735199928E0,3.220799923E0,3.783650054E1
1.592523962E0,-3.673419952E1,-8.735199928E0,2.952399969E0,3.787376134E1
1.602523962E0,-3.672200012E1,-8.710800171E0,2.464400053E0,3.782137756E1
1.612523962E0,-3.668539810E1,-8.674200058E0,2.049599886E0,3.775262958E1
1.622523962E0,-3.664879990E1,-8.710800171E0,1.646999955E0,3.770577121E1
1.632523962E0,-3.651459885E1,-8.857199669E0,1.183400035E0,3.759210490E1
1.642523962E0,-3.634379959E1,-8.991399765E0,7.929999828E-1,3.744790899E1
1.652523962E0,-3.623400116E1,-9.088999748E0,2.317999899E-1,3.735728159E1
1.662523962E0,-3.602659988E1,-9.174399376E0,-3.172000051E-1,3.717776377E1
1.672523962E0,-3.573379898E1,-9.235400200E0,-1.061399937E0,3.692321189E1
1.682523962E0,-3.550199890E1,-9.308599472E0,-1.756799936E0,3.674409199E1
1.692523962E0,-3.527019882E1,-9.467200279E0,-2.549799919E0,3.660759874E1
1.702523962E0,-3.505059814E1,-9.637999535E0,-3.464799881E0,3.651630189E1
1.712523962E0,-3.475780106E1,-9.735599518E0,-4.465199947E0,3.637065634E1
1.722523962E0,-3.437960052E1,-9.857600212E0,-5.551000118E0,3.619313217E1
1.732523962E0,-3.395259857E1,-1.001620007E1,-6.600199699E0,3.600924672E1
1.742523962E0,-3.335480118E1,-1.018700027E1,-7.685999870E0,3.571263544E1
1.752523962E0,-3.278139877E1,-1.032119942E1,-8.661999702E0,3.544259446E1
1.762523962E0,-3.224459839E1,-1.052859974E1,-9.674599648E0,3.527270072E1
1.772523962E0,-3.163459969E1,-1.063840008E1,-1.071159935E1,3.505227260E1
1.782523962E0,-3.093919945E1,-1.071159935E1,-1.174860001E1,3.478508337E1
1.792523962E0,-3.036579895E1,-1.076039982E1,-1.271239948E1,3.463340946E1
1.802523962E0,-2.980459976E1,-1.074819946E1,-1.360299969E1,3.448013282E1
1.812523962E0,-2.930439949E1,-1.079699993E1,-1.439599991E1,3.438848427E1
1.822523962E0,-2.885299873E1,-1.090679932E1,-1.507919979E1,3.433418229E1
1.832523962E0,-2.849919891E1,-1.099219990E1,-1.576239967E1,3.437275143E1
1.842523962E0,-2.809659958E1,-1.099219990E1,-1.638459969E1,3.433223665E1
1.852523962E0,-2.771839905E1,-1.097999954E1,-1.688479996E1,3.426319462E1
1.862523962E0,-2.738899994E1,-1.100440025E1,-1.723859978E1,3.418220977E1
1.872523962E0,-2.703520012E1,-1.100440025E1,-1.758020020E1,3.407436440E1
1.882523962E0,-2.679119873E1,-1.104099941E1,-1.786079979E1,3.403939140E1
1.892523962E0,-2.649839973E1,-1.107759953E1,-1.803159904E1,3.391190003E1
1.902523962E0,-2.624219894E1,-1.104099941E1,-1.831220055E1,3.385104669E1
1.912523962E0,-2.607139969E1,-1.102880001E1,-1.847080040E1,3.380122452E1
1.922523962E0,-2.590060043E1,-1.100440025E1,-1.866600037E1,3.376917970E1
1.932523962E0,-2.569319916E1,-1.105319977E1,-1.882460022E1,3.371467457E1
1.942523962E0,-2.549799919E1,-1.101659966E1,-1.909300041E1,3.370543125E1
1.952523962E0,-2.544919968E1,-1.108979988E1,-1.922719955E1,3.376878186E1
1.962523962E0,-2.538819885E1,-1.111419964E1,-1.939799881E1,3.382851508E1
1.972523962E0,-2.537599945E1,-1.106540012E1,-1.972739983E1,3.399345131E1
1.982523962E0,-2.538819885E1,-1.110200024E1,-1.983720016E1,3.407828576E1
1.992523962E0,-2.526619911E1,-1.108979988E1,-2.003240013E1,3.409782301E1
2.002523962E0,-2.515639877E1,-1.111419964E1,-1.991040039E1,3.395281839E1
2.012523962E0,-2.511979866E1,-1.116300011E1,-1.977619934E1,3.386317936E1
2.022523962E0,-2.513199997E1,-1.118739986E1,-1.960540009E1,3.378086812E1
2.032523962E0,-2.519299889E1,-1.116300011E1,-1.944680023E1,3.372651484E1
2.042523962E0,-2.533939934E1,-1.111419964E1,-1.939799881E1,3.379190658E1
2.052523962E0,-2.557119942E1,-1.105319977E1,-1.915399933E1,3.380732398E1
2.062523962E0,-2.590060043E1,-1.094339943E1,-1.897099876E1,3.391899008E1
2.072523962E0,-2.626659966E1,-1.084579945E1,-1.861719894E1,3.397301458E1
2.082523962E0,-2.666919899E1,-1.076039982E1,-1.848299980E1,3.418557679E1
2.092523962E0,-2.729139900E1,-1.065059948E1,-1.828779984E1,3.453547961E1
2.102523962E0,-2.793799973E1,-1.050419998E1,-1.808040047E1,3.489657472E1
2.112523962E0,-2.856019974E1,-1.036999989E1,-1.776319885E1,3.519592505E1
2.122523962E0,-2.914579964E1,-1.026019955E1,-1.718980026E1,3.535871271E1
2.132523962E0,-2.974359894E1,-1.023579979E1,-1.659199905E1,3.556329158E1
2.142523962E0,-3.037800026E1,-1.023579979E1,-1.578679943E1,3.573258364E1
2.152523962E0,-3.095139885E1,-1.026019955E1,-1.496939945E1,3.587957226E1
2.162523962E0,-3.158580017E1,-1.033339977E1,-1.392019939E1,3.603073514E1
2.172523962E0,-3.192739868E1,-1.041879940E1,-1.282219982E1,3.594883831E1
2.182523962E0,-3.236660004E1,-1.058959961E1,-1.159000015E1,3.597310831E1
2.192523962E0,-3.269599915E1,-1.076039982E1,-1.038220024E1,3.595281138E1
2.202523962E0,-3.291559982E1,-1.094339943E1,-9.101200104E0,3.586121228E1
2.212523962E0,-3.322060013E1,-1.113859940E1,-7.893399715E0,3.591632537E1
2.222523962E0,-3.340359879E1,-1.135820007E1,-6.722199917E0,3.591652952E1
2.232523962E0,-3.353779984E1,-1.160219955E1,-5.538799763E0,3.591759117E1
2.242523962E0,-3.364759827E1,-1.174860001E1,-4.465199947E0,3.591835856E1
2.252523962E0,-3.384280014E1,-1.191940022E1,-3.464799881E0,3.604735859E1
2.262523962E0,-3.383060074E1,-1.204139996E1,-2.537600040E0,3.599922601E1
2.272523962E0,-3.390380096E1,-1.213899994E1,-1.744599938E0,3.605366373E1
2.282523962E0,-3.408679962E1,-1.224879932E1,-1.024799943E0,3.623524815E1
2.292523962E0,-3.406240082E1,-1.228539944E1,-3.537999988E-1,3.621192294E1
2.302523962E0,-3.403799820E1,-1.233419991E1,2.928000093E-1,3.620502093E1
2.312523962E0,-3.415999985E1,-1.235859966E1,8.661999702E-1,3.633718313E1
